item,itemLabel,country,countryLabel,place,placeLabel,language,languageLabel,pic,offurl
http://www.wikidata.org/entity/Q854085,Beol.hu,http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q191616,Békés County,,,,https://www.beol.hu/
http://www.wikidata.org/entity/Q857265,Q857265,http://www.wikidata.org/entity/Q39,Switzerland,,,http://www.wikidata.org/entity/Q150,French,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Biel-Bienne.svg,http://www.bielbienne.com
http://www.wikidata.org/entity/Q857265,Q857265,http://www.wikidata.org/entity/Q39,Switzerland,,,http://www.wikidata.org/entity/Q188,German,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Biel-Bienne.svg,http://www.bielbienne.com
http://www.wikidata.org/entity/Q857280,Q857280,,,,,http://www.wikidata.org/entity/Q7737,Russian,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%92%D0%B7%D1%8F%D1%82%D0%BA%D0%B0.png,http://anticorruption.ucoz.com/
http://www.wikidata.org/entity/Q858121,Le Monde diplomatique,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q150,French,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Le%20Monde%20diplomatique.svg,https://www.monde-diplomatique.fr/
http://www.wikidata.org/entity/Q862148,Star Tribune,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q36091,Minneapolis,http://www.wikidata.org/entity/Q1860,English,http://commons.wikimedia.org/wiki/Special:FilePath/Star%20Tribune%20Logo.svg,http://www.startribune.com/
http://www.wikidata.org/entity/Q863244,Yoldash,,,,,http://www.wikidata.org/entity/Q36209,Kumyk,,https://yoldash.ru/
http://www.wikidata.org/entity/Q863351,Utusan Malaysia,http://www.wikidata.org/entity/Q833,Malaysia,,,http://www.wikidata.org/entity/Q9237,Malay,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Utusan%20Malaysia%202020.png,https://www.utusan.com.my/
http://www.wikidata.org/entity/Q870443,Die Weltwoche,http://www.wikidata.org/entity/Q39,Switzerland,,,http://www.wikidata.org/entity/Q188,German,,http://www.weltwoche.ch/die-weltwoche/
http://www.wikidata.org/entity/Q875081,Hakikat,,,,,http://www.wikidata.org/entity/Q7737,Russian,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%A51%D0%90%D0%9A%D0%AA%D0%98%D0%9A%D0%AA%D0%90%D0%A2.png,http://hakikat.info
http://www.wikidata.org/entity/Q875081,Hakikat,,,,,http://www.wikidata.org/entity/Q29561,Avar,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%A51%D0%90%D0%9A%D0%AA%D0%98%D0%9A%D0%AA%D0%90%D0%A2.png,http://hakikat.info
http://www.wikidata.org/entity/Q875094,Q875094,,,,,http://www.wikidata.org/entity/Q7737,Russian,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%90%D1%81%D1%81%D0%B0%D0%BB%D0%B0%D0%BC.png,http://www.as-salam.ru
http://www.wikidata.org/entity/Q875094,Q875094,,,,,http://www.wikidata.org/entity/Q29561,Avar,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%90%D1%81%D1%81%D0%B0%D0%BB%D0%B0%D0%BC.png,http://www.as-salam.ru
http://www.wikidata.org/entity/Q875094,Q875094,,,,,http://www.wikidata.org/entity/Q31746,Lezgian,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%90%D1%81%D1%81%D0%B0%D0%BB%D0%B0%D0%BC.png,http://www.as-salam.ru
http://www.wikidata.org/entity/Q875094,Q875094,,,,,http://www.wikidata.org/entity/Q32332,Dargwa,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%90%D1%81%D1%81%D0%B0%D0%BB%D0%B0%D0%BC.png,http://www.as-salam.ru
http://www.wikidata.org/entity/Q875094,Q875094,,,,,http://www.wikidata.org/entity/Q34079,Tabasaran,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%90%D1%81%D1%81%D0%B0%D0%BB%D0%B0%D0%BC.png,http://www.as-salam.ru
http://www.wikidata.org/entity/Q875094,Q875094,,,,,http://www.wikidata.org/entity/Q36206,Lak,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%90%D1%81%D1%81%D0%B0%D0%BB%D0%B0%D0%BC.png,http://www.as-salam.ru
http://www.wikidata.org/entity/Q875094,Q875094,,,,,http://www.wikidata.org/entity/Q36209,Kumyk,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%90%D1%81%D1%81%D0%B0%D0%BB%D0%B0%D0%BC.png,http://www.as-salam.ru
http://www.wikidata.org/entity/Q876158,Village Voice,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q60,New York City,http://www.wikidata.org/entity/Q1860,English,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Village%20Voice.svg,http://www.villagevoice.com/
http://www.wikidata.org/entity/Q881210,Yeni Asya,,,,,http://www.wikidata.org/entity/Q256,Turkish,http://commons.wikimedia.org/wiki/Special:FilePath/YeniAsyaLogo.png,http://www.yeniasya.com.tr/
http://www.wikidata.org/entity/Q883982,Q883982,http://www.wikidata.org/entity/Q39,Switzerland,,,,,,https://www.blick.ch/
http://www.wikidata.org/entity/Q883984,Blick,http://www.wikidata.org/entity/Q183,Germany,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/BLICK-Logo.jpg,http://www.blick.de/
http://www.wikidata.org/entity/Q883987,Blic,,,,,http://www.wikidata.org/entity/Q9299,Serbian,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20BLIC.svg,http://blic.rs/
http://www.wikidata.org/entity/Q888276,Лӯима̄ сэ̄рипос,,,,,http://www.wikidata.org/entity/Q33759,Mansi,,http://www.khanty-yasang.ru/luima-seripos
http://www.wikidata.org/entity/Q889935,The Dallas Morning News,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q16557,Dallas,http://www.wikidata.org/entity/Q1860,English,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Dallas%20Morning%20News%20Logo.svg,http://infoweb.newsbank.com
http://www.wikidata.org/entity/Q889935,The Dallas Morning News,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q16557,Dallas,http://www.wikidata.org/entity/Q1860,English,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Dallas%20Morning%20News%20Logo.svg,https://hdl.loc.gov/loc.sgp/npe.2004216240
http://www.wikidata.org/entity/Q889935,The Dallas Morning News,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q16557,Dallas,http://www.wikidata.org/entity/Q1860,English,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Dallas%20Morning%20News%20Logo.svg,https://www.dallasnews.com/
http://www.wikidata.org/entity/Q893337,Borba,http://www.wikidata.org/entity/Q403,Serbia,,,http://www.wikidata.org/entity/Q9299,Serbian,,http://www.borba.rs/
http://www.wikidata.org/entity/Q893337,Borba,http://www.wikidata.org/entity/Q36704,Yugoslavia,,,http://www.wikidata.org/entity/Q9299,Serbian,,http://www.borba.rs/
http://www.wikidata.org/entity/Q894617,Bota Sot,http://www.wikidata.org/entity/Q39,Switzerland,,,,,,http://www.botasot.info
http://www.wikidata.org/entity/Q896716,Unsere Zeit,,,,,http://www.wikidata.org/entity/Q188,German,http://commons.wikimedia.org/wiki/Special:FilePath/UZ-Logo.svg,https://unsere-zeit.de/
http://www.wikidata.org/entity/Q896978,Passauer Neue Presse,,,,,http://www.wikidata.org/entity/Q188,German,http://commons.wikimedia.org/wiki/Special:FilePath/Passauer%20Neue%20Presse%20Logo.svg,http://www.pnp.de
http://www.wikidata.org/entity/Q898393,Magyar Hírlap,http://www.wikidata.org/entity/Q28,Hungary,,,http://www.wikidata.org/entity/Q9067,Hungarian,http://commons.wikimedia.org/wiki/Special:FilePath/Magyar%20H%C3%ADrlap%20logo.png,http://www.magyarhirlap.hu/
http://www.wikidata.org/entity/Q898833,Népszabadság,http://www.wikidata.org/entity/Q28,Hungary,,,http://www.wikidata.org/entity/Q9067,Hungarian,http://commons.wikimedia.org/wiki/Special:FilePath/Nepszabadsag%20logo.svg,http://www.nol.hu
http://www.wikidata.org/entity/Q902507,Il Gazzettino,,,http://www.wikidata.org/entity/Q617,Padua,http://www.wikidata.org/entity/Q652,Italian,http://commons.wikimedia.org/wiki/Special:FilePath/Il%20Gazzettino.svg,http://www.gazzettino.it/
http://www.wikidata.org/entity/Q902507,Il Gazzettino,,,http://www.wikidata.org/entity/Q641,Venice,http://www.wikidata.org/entity/Q652,Italian,http://commons.wikimedia.org/wiki/Special:FilePath/Il%20Gazzettino.svg,http://www.gazzettino.it/
http://www.wikidata.org/entity/Q902507,Il Gazzettino,,,http://www.wikidata.org/entity/Q2790,Udine,http://www.wikidata.org/entity/Q652,Italian,http://commons.wikimedia.org/wiki/Special:FilePath/Il%20Gazzettino.svg,http://www.gazzettino.it/
http://www.wikidata.org/entity/Q902507,Il Gazzettino,,,http://www.wikidata.org/entity/Q5475,Treviso,http://www.wikidata.org/entity/Q652,Italian,http://commons.wikimedia.org/wiki/Special:FilePath/Il%20Gazzettino.svg,http://www.gazzettino.it/
http://www.wikidata.org/entity/Q902507,Il Gazzettino,,,http://www.wikidata.org/entity/Q6537,Vicenza,http://www.wikidata.org/entity/Q652,Italian,http://commons.wikimedia.org/wiki/Special:FilePath/Il%20Gazzettino.svg,http://www.gazzettino.it/
http://www.wikidata.org/entity/Q902507,Il Gazzettino,,,http://www.wikidata.org/entity/Q6558,Belluno,http://www.wikidata.org/entity/Q652,Italian,http://commons.wikimedia.org/wiki/Special:FilePath/Il%20Gazzettino.svg,http://www.gazzettino.it/
http://www.wikidata.org/entity/Q902507,Il Gazzettino,,,http://www.wikidata.org/entity/Q6572,Rovigo,http://www.wikidata.org/entity/Q652,Italian,http://commons.wikimedia.org/wiki/Special:FilePath/Il%20Gazzettino.svg,http://www.gazzettino.it/
http://www.wikidata.org/entity/Q902507,Il Gazzettino,,,http://www.wikidata.org/entity/Q6606,Pordenone,http://www.wikidata.org/entity/Q652,Italian,http://commons.wikimedia.org/wiki/Special:FilePath/Il%20Gazzettino.svg,http://www.gazzettino.it/
http://www.wikidata.org/entity/Q902507,Il Gazzettino,,,http://www.wikidata.org/entity/Q47094,Bassano del Grappa,http://www.wikidata.org/entity/Q652,Italian,http://commons.wikimedia.org/wiki/Special:FilePath/Il%20Gazzettino.svg,http://www.gazzettino.it/
http://www.wikidata.org/entity/Q905507,Birobidzhaner Shtern,http://www.wikidata.org/entity/Q159,Russia,,,http://www.wikidata.org/entity/Q7737,Russian,,http://www.gazetaeao.ru/gazetiy/birobidjaner-shtern.html
http://www.wikidata.org/entity/Q905507,Birobidzhaner Shtern,http://www.wikidata.org/entity/Q159,Russia,,,http://www.wikidata.org/entity/Q8641,Yiddish,,http://www.gazetaeao.ru/gazetiy/birobidjaner-shtern.html
http://www.wikidata.org/entity/Q907908,Weser-Kurier,http://www.wikidata.org/entity/Q183,Germany,,,,,,https://www.weser-kurier.de/
http://www.wikidata.org/entity/Q909209,El Comercio,http://www.wikidata.org/entity/Q736,Ecuador,,,http://www.wikidata.org/entity/Q1321,Spanish,http://commons.wikimedia.org/wiki/Special:FilePath/Logo-ec.png,http://elcomercio.com/
http://www.wikidata.org/entity/Q913303,El Diario Vasco,,,http://www.wikidata.org/entity/Q10313,Donostia-San Sebastián,http://www.wikidata.org/entity/Q1321,Spanish,http://commons.wikimedia.org/wiki/Special:FilePath/El%20Diario%20Vasco%20logo.png,https://www.diariovasco.com/
http://www.wikidata.org/entity/Q917338,The Dominion Post,,,http://www.wikidata.org/entity/Q23661,Wellington,http://www.wikidata.org/entity/Q1860,English,,http://fairfaxmedia.newspaperdirect.com/epaper/viewer.aspx
http://www.wikidata.org/entity/Q917338,The Dominion Post,,,http://www.wikidata.org/entity/Q23661,Wellington,http://www.wikidata.org/entity/Q1860,English,,https://www.stuff.co.nz/dominionpost
http://www.wikidata.org/entity/Q917580,Marca,http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q2807,Madrid,http://www.wikidata.org/entity/Q1321,Spanish,http://commons.wikimedia.org/wiki/Special:FilePath/Marca.svg,https://www.marca.com/
http://www.wikidata.org/entity/Q920043,Xtra!,http://www.wikidata.org/entity/Q16,Canada,,,http://www.wikidata.org/entity/Q1860,English,,https://xtramagazine.com/
http://www.wikidata.org/entity/Q922150,Pester Lloyd,http://www.wikidata.org/entity/Q28,Hungary,,,http://www.wikidata.org/entity/Q188,German,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Pester%20Lloyd.jpg,http://www.pesterlloyd.net/
http://www.wikidata.org/entity/Q923193,Les Échos,http://www.wikidata.org/entity/Q142,France,,,http://www.wikidata.org/entity/Q150,French,,http://kiosque.lesechos.fr/
http://www.wikidata.org/entity/Q923193,Les Échos,http://www.wikidata.org/entity/Q142,France,,,http://www.wikidata.org/entity/Q150,French,,http://www.lesechos.fr/
http://www.wikidata.org/entity/Q923353,La Stampa,http://www.wikidata.org/entity/Q38,Italy,http://www.wikidata.org/entity/Q495,Turin,http://www.wikidata.org/entity/Q652,Italian,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Stampa.svg,https://www.lastampa.it
http://www.wikidata.org/entity/Q924512,Diena,http://www.wikidata.org/entity/Q211,Latvia,,,http://www.wikidata.org/entity/Q9078,Latvian,,http://www.diena.lv
http://www.wikidata.org/entity/Q924518,La Voz del Interior,http://www.wikidata.org/entity/Q414,Argentina,,,http://www.wikidata.org/entity/Q1321,Spanish,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20of%20La%20Voz%20del%20interior%20newspaper%20since%202009.svg,http://lavoz.com.ar
http://www.wikidata.org/entity/Q924518,La Voz del Interior,http://www.wikidata.org/entity/Q414,Argentina,,,http://www.wikidata.org/entity/Q1321,Spanish,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20of%20La%20Voz%20del%20interior%20newspaper%20since%202009.svg,https://www.lavoz.com.ar/
http://www.wikidata.org/entity/Q283570,Moskauer Deutsche Zeitung,http://www.wikidata.org/entity/Q159,Russia,,,http://www.wikidata.org/entity/Q188,German,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Moskauer%20Deutsche%20Zeitung.png,http://www.mdz-moskau.eu/
http://www.wikidata.org/entity/Q283570,Moskauer Deutsche Zeitung,http://www.wikidata.org/entity/Q159,Russia,,,http://www.wikidata.org/entity/Q7737,Russian,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Moskauer%20Deutsche%20Zeitung.png,http://www.mdz-moskau.eu/
http://www.wikidata.org/entity/Q284947,The Christian Science Monitor,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q100,Boston,http://www.wikidata.org/entity/Q1860,English,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Christian%20Science%20Monitor%20masthead.png,http://www.csmonitor.com/
http://www.wikidata.org/entity/Q285738,Al-Hayat,,,,,http://www.wikidata.org/entity/Q13955,Arabic,http://commons.wikimedia.org/wiki/Special:FilePath/Al-hayat-logo.jpg,http://www.alhayat.com
http://www.wikidata.org/entity/Q286036,The Plain Dealer,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q37320,Cleveland,http://www.wikidata.org/entity/Q1860,English,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Plain%20Dealer%20%282007-08-08%29.svg,http://www.cleveland.com/
http://www.wikidata.org/entity/Q286261,Seattle Post-Intelligencer,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q5083,Seattle,http://www.wikidata.org/entity/Q1860,English,http://commons.wikimedia.org/wiki/Special:FilePath/Seattle%20Post-Intelligencer%20logo.svg,https://www.seattlepi.com/
http://www.wikidata.org/entity/Q287944,City Journal,,,http://www.wikidata.org/entity/Q163798,Thrissur,http://www.wikidata.org/entity/Q1860,English,,http://www.cityjournal.in/
http://www.wikidata.org/entity/Q292479,Al-Watan,,,,,http://www.wikidata.org/entity/Q13955,Arabic,,http://alwatan.sy
http://www.wikidata.org/entity/Q292497,Al-Baʻth,http://www.wikidata.org/entity/Q858,Syria,,,http://www.wikidata.org/entity/Q13955,Arabic,,http://newspaper.albaathmedia.sy
http://www.wikidata.org/entity/Q293572,Õhtuleht,,,http://www.wikidata.org/entity/Q191,Estonia,http://www.wikidata.org/entity/Q9072,Estonian,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%95htuleht%20logo.svg,https://www.ohtuleht.ee/
http://www.wikidata.org/entity/Q293902,Innendekoration,,,,,,,,http://www.ait-online.de
http://www.wikidata.org/entity/Q294279,aktiv,,,http://www.wikidata.org/entity/Q99672314,Dto,http://www.wikidata.org/entity/Q188,German,,http://www.aktiv-online.de/
http://www.wikidata.org/entity/Q294279,aktiv,,,http://www.wikidata.org/entity/Q99672314,Dto,http://www.wikidata.org/entity/Q188,German,,https://www.aktiv-online.de/
http://www.wikidata.org/entity/Q297580,Q297580,,,,,http://www.wikidata.org/entity/Q256,Turkish,,http://www.oncevatan.com.tr
http://www.wikidata.org/entity/Q300743,Aachener Nachrichten,http://www.wikidata.org/entity/Q183,Germany,,,http://www.wikidata.org/entity/Q188,German,http://commons.wikimedia.org/wiki/Special:FilePath/Aachener-Nachrichten-Logo.svg,http://www.aachener-nachrichten.de/
http://www.wikidata.org/entity/Q300743,Aachener Nachrichten,http://www.wikidata.org/entity/Q183,Germany,,,http://www.wikidata.org/entity/Q188,German,http://commons.wikimedia.org/wiki/Special:FilePath/Aachener%20Nachrichten%20%282019-12-29%29.svg,http://www.aachener-nachrichten.de/
http://www.wikidata.org/entity/Q300766,Aachener Zeitung,http://www.wikidata.org/entity/Q183,Germany,,,http://www.wikidata.org/entity/Q188,German,http://commons.wikimedia.org/wiki/Special:FilePath/Aachener-Zeitung-Logo.svg,http://www.aachener-zeitung.de/
http://www.wikidata.org/entity/Q300766,Aachener Zeitung,http://www.wikidata.org/entity/Q183,Germany,,,http://www.wikidata.org/entity/Q188,German,http://commons.wikimedia.org/wiki/Special:FilePath/Aachener%20Zeitung%202019-12-29%29.svg,http://www.aachener-zeitung.de/
http://www.wikidata.org/entity/Q301000,Aamulehti,,,http://www.wikidata.org/entity/Q40840,Tampere,http://www.wikidata.org/entity/Q1412,Finnish,http://commons.wikimedia.org/wiki/Special:FilePath/Aamulehti%20wordmark.svg,https://www.aamulehti.fi/
http://www.wikidata.org/entity/Q303966,metroxpress,http://www.wikidata.org/entity/Q35,Denmark,,,,,,http://www.mx.dk
http://www.wikidata.org/entity/Q304369,168 Óra,http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q1781,Budapest,http://www.wikidata.org/entity/Q9067,Hungarian,http://commons.wikimedia.org/wiki/Special:FilePath/168%20%C3%93ra%20logo.png,https://168.hu
http://www.wikidata.org/entity/Q307838,Özgür Gündem,,,,,http://www.wikidata.org/entity/Q256,Turkish,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%96zg%C3%BCr%20G%C3%BCndem%20Logo.png,http://www.ozgur-gundem.com/
http://www.wikidata.org/entity/Q309119,Die Rote Fahne,,,,,http://www.wikidata.org/entity/Q188,German,http://commons.wikimedia.org/wiki/Special:FilePath/Rote-Fahne-1918.jpg,http://die-rote-fahne.de
http://www.wikidata.org/entity/Q309135,Corriere della Sera,http://www.wikidata.org/entity/Q38,Italy,http://www.wikidata.org/entity/Q490,Milan,http://www.wikidata.org/entity/Q652,Italian,http://commons.wikimedia.org/wiki/Special:FilePath/Corriere%20della%20Sera.svg,https://www.corriere.it
http://www.wikidata.org/entity/Q310130,Al-Wasat,http://www.wikidata.org/entity/Q398,Bahrain,,,http://www.wikidata.org/entity/Q13955,Arabic,,http://www.alwasatnews.com/
http://www.wikidata.org/entity/Q310193,Al-Quds Al-Arabi,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q84,London,http://www.wikidata.org/entity/Q13955,Arabic,,http://www.alquds.co.uk
http://www.wikidata.org/entity/Q312106,Woxx,,,,,http://www.wikidata.org/entity/Q150,French,,http://www.woxx.lu
http://www.wikidata.org/entity/Q312106,Woxx,,,,,http://www.wikidata.org/entity/Q188,German,,http://www.woxx.lu
http://www.wikidata.org/entity/Q315473,National Zeitung,http://www.wikidata.org/entity/Q183,Germany,,,http://www.wikidata.org/entity/Q188,German,,http://www.national-zeitung.de/
http://www.wikidata.org/entity/Q315829,Jungle World,http://www.wikidata.org/entity/Q183,Germany,,,http://www.wikidata.org/entity/Q188,German,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Jungle%20World.svg,https://jungle.world/
http://www.wikidata.org/entity/Q325193,Argentinisches Tageblatt,http://www.wikidata.org/entity/Q414,Argentina,,,http://www.wikidata.org/entity/Q188,German,http://commons.wikimedia.org/wiki/Special:FilePath/ArgentinischesTageblatt.svg,https://www.tageblatt.com.ar/
http://www.wikidata.org/entity/Q327147,Hürriyet,http://www.wikidata.org/entity/Q43,Turkey,,,http://www.wikidata.org/entity/Q256,Turkish,http://commons.wikimedia.org/wiki/Special:FilePath/Hurriyet.svg,http://www.hurriyet.com.tr/
http://www.wikidata.org/entity/Q327799,Türkiye,http://www.wikidata.org/entity/Q43,Turkey,,,http://www.wikidata.org/entity/Q256,Turkish,http://commons.wikimedia.org/wiki/Special:FilePath/T%C3%BCrkiye%20Logo.jpg,http://www.turkiyegazetesi.com.tr
http://www.wikidata.org/entity/Q328388,Millî Gazete,,,,,http://www.wikidata.org/entity/Q256,Turkish,http://commons.wikimedia.org/wiki/Special:FilePath/Milli%20Gazete%20logo.gif,http://www.milligazete.com.tr/
http://www.wikidata.org/entity/Q336197,The Observer,http://www.wikidata.org/entity/Q145,United Kingdom,,,http://www.wikidata.org/entity/Q1860,English,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Observer%202018.svg,http://observer.theguardian.com/
http://www.wikidata.org/entity/Q355432,Lëtzebuerger Journal,,,,,http://www.wikidata.org/entity/Q188,German,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20journal.png,http://www.journal.lu/home/
http://www.wikidata.org/entity/Q356300,The Sacramento Bee,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q18013,Sacramento,http://www.wikidata.org/entity/Q1860,English,,http://search.rdsinc.com/sessions?products=CWI
http://www.wikidata.org/entity/Q356300,The Sacramento Bee,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q18013,Sacramento,http://www.wikidata.org/entity/Q1860,English,,http://cisweb.lexis-nexis.com/sourceselect/returnToSearch.asp?csisrc=249176&after=0:ALL
http://www.wikidata.org/entity/Q356300,The Sacramento Bee,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q18013,Sacramento,http://www.wikidata.org/entity/Q1860,English,,http://ddsnext.crl.edu/titles/25674
http://www.wikidata.org/entity/Q356300,The Sacramento Bee,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q18013,Sacramento,http://www.wikidata.org/entity/Q1860,English,,http://infoweb.newsbank.com/?db=SCBB
http://www.wikidata.org/entity/Q356300,The Sacramento Bee,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q18013,Sacramento,http://www.wikidata.org/entity/Q1860,English,,http://sacbee.com/
http://www.wikidata.org/entity/Q366921,Helsingin Sanomat,http://www.wikidata.org/entity/Q33,Finland,http://www.wikidata.org/entity/Q1757,Helsinki,http://www.wikidata.org/entity/Q1412,Finnish,http://commons.wikimedia.org/wiki/Special:FilePath/Helsingin%20Sanomat%20wordmark.svg,https://www.hs.fi/
http://www.wikidata.org/entity/Q367105,Adresseavisen,http://www.wikidata.org/entity/Q20,Norway,,,http://www.wikidata.org/entity/Q9043,Norwegian,http://commons.wikimedia.org/wiki/Special:FilePath/Adresseavisen.svg,https://adressa.no
http://www.wikidata.org/entity/Q367157,Jakarta Globe,http://www.wikidata.org/entity/Q252,Indonesia,,,http://www.wikidata.org/entity/Q1860,English,,http://jakartaglobe.id
http://www.wikidata.org/entity/Q368292,Últimas Noticias,http://www.wikidata.org/entity/Q717,Venezuela,,,http://www.wikidata.org/entity/Q840017,Venezuelan Spanish,,http://www.ultimasnoticias.com.ve
http://www.wikidata.org/entity/Q372096,The Statesman,http://www.wikidata.org/entity/Q668,India,http://www.wikidata.org/entity/Q1815367,Serampore,http://www.wikidata.org/entity/Q1860,English,,http://www.thestatesman.com/
http://www.wikidata.org/entity/Q373133,Politiken,,,,,http://www.wikidata.org/entity/Q9035,Danish,http://commons.wikimedia.org/wiki/Special:FilePath/Politiken-Logo.svg,https://politiken.dk/
